Name,slug,Domain,LogoUrl,FullCompanyName,Description,Logo,Status,MonthlyYearlyToggle,MonthlyYearly,FreePeriod,TrialPeriod,FreePlan,NoPackages,PricingType,LowestPrice,HighestVisiblePrice,Price different between lowest and medium tier,LowToHigh,HighToLow,Highlighted,EnterpriseQuote,EnterprisePlanTier,EnterprisePlanBelow,CtaType,CtaName,FeaturesTickCross,FeaturesStrikethrough,FeaturesHiddenLowerTiers,FeaturesUnderneathPricing,EverythingIncludedHigherPlans,FeaturesUnavailable
Re-amaze,re-amaze,reamaze.com,https://logo.clearbit.com/reamaze.com,Re:amaze,"Re:amaze is a cloud based helpdesk and customer messaging platform to help businesses support, engage, and convert customers.",,Active,No,No,14 days,,No,3,Per user,20.00,60,,Yes ,No,No,No,,,Top and Bottom,Try Re:Amaze free,,,,,Yes,
Zenefits,zenefits,zenefits.com,https://logo.clearbit.com/zenefits.com,Zenefits,"Zenefits delivers a complete, all-mobile HR experience for small and medium businesses.",,Active,Yes,Annual,14 days,,No,3,Standard,10.00,27,,,,Yes(Most popular),No,,,Bottom,Select Plan,,,yes,,,
Usersnap,usersnap,usersnap.com,https://logo.clearbit.com/usersnap.com,Usersnap,Usersnap is a web application company.,,Active,Yes,Monthly,14 days,,No,4,Standard,39.00,149,,Yes ,,No,Yes,,,Top,Start free trial,,,Yes,,,
Calendly,calendly,calendly.com,https://logo.clearbit.com/calendly.com,Calendly,"Find the perfect meeting time with super easy online appointment scheduling software from Calendly, and say goodbye to phone and email tag. It's 100% free, super easy to use, and you'll love our customer service.",,Active,Yes,Annual,14 days,,Yes,3,Per user,10.00,15,,Yes ,,No,No,,,N/A,N/A,Yes,,,,,
Formstack,formstack,formstack.com,https://logo.clearbit.com/formstack.com,Formstack,Formstack is a workplace productivity solution built to transform the way people collect information and put it to work.,,Active,Yes,Monthly,14 days,,No,5,Per user,19.00,249,,Yes ,,Yes(Most popular),Yes,,,Bottom,Try It Free,Yes,,,,,
Appbot,appbot,appbot.co,https://logo.clearbit.com/appbot.co,Appbot,"Appbot is a tool that aggregates app store reviews for all countries on iTunes, Google Play, Amazon and Windows stores.",,Active,No,No,14 days,,No,4,Standard,49.00,199,,Yes ,No,Yes,No,,,Bottom,Join free for 14 days,,,,,Yes,
Cliengo,cliengo,cliengo.com,https://logo.clearbit.com/cliengo.com,Cliengo,"Conversational Sales and Marketing Platform, named as Most Innovative Companies in Latin America by Fast Company 2019",,Active,Yes,Monthly,14 days,,No,5,Standard,29.00,149,,Yes ,No,Yes,No,,,Bottom,Start free trail,,,,Yes,,
Loom,loom,loom.com,https://logo.clearbit.com/loom.com,Loom,"Easy and free screen recorder for Mac, Windows, and Chromebooks. Record your camera and screen with audio directly from your Chrome browser and share the video with your team, friends, and family.",,Active,Yes,Yearly,14 days,,Yes,4,Per user,0.00,10,,Yes ,,Yes,Yes,,,Top,Start Free Trail,Yes,,,,,
Bigtime,bigtime,bigtime.net,https://logo.clearbit.com/bigtime.net,BigTime Software,"BigTime Software develops cloud-based time-tracking, billing, and project management software.",,Active,No,No,14 days,,No,3,Standard,10.00,40,,Yes ,No,Yes(Most popular),No,,,Bottom,Start free trail,,,,,Yes,
Botsify,botsify,botsify.com,https://logo.clearbit.com/botsify.com,Botsify,Build chatbots for messenger without any coding knowledge.,,Active,No,No,14 days,,No,2,Standard,50.00,300,,Yes ,,No,No,,,Bottom,Start Your Free Trail,,Yes,,,,
Chargebee,chargebee,chargebee.com,https://logo.clearbit.com/chargebee.com,Chargebee,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,,Active,Yes,Annual,14 days,,No,3,Standard,299.00,599,,Yes ,,Yes (popular),Yes,,,Top,Sign up for free,Yes,,,,,
Trackingtime,trackingtime,trackingtime.co,https://logo.clearbit.com/trackingtime.co,TrackingTime,Cloud-based Time Tracking Software,,Active,No,No,14 days,,Yes,3,Per user,4.99,9.99,,Yes ,No,No,No,,,Top and Bottom,Get started,Yes,,,,,
Klipfolio,klipfolio-for-businesses,klipfolio.com,https://logo.clearbit.com/klipfolio.com,Klipfolio,"Succeed with data – be stronger, better, and more competitive every day.",,Active,Yes,Yearly,14 days,,No,4,Standard,70.00,570,,,Yes,Yes(Most popular),No,,,Bottom,Start Your free Trial,,,yes,,,
Algolia,algolia,algolia.com,https://logo.clearbit.com/algolia.com,Algolia,"Algolia is a computer software platform that specializes in providing developer tools, API, SaaS, and e-Commerce.",,Active,No,,14 days,,Yes,3,Standard,29.00,499,,Yes ,,Yes,Yes,,,Top and bottom,Start your free trial today,Yes,,,,,
Cirrus Insight ,cirrus-insight-,cirrusinsight.com,https://logo.clearbit.com/cirrusinsight.com,Cirrus Insight,"Cirruspath develops Cirrus Insight, rated the #1 app for integrating Salesforce with your Inbox.",,Active,Yes,Yearly,14 days,,No,2,Per user,36.00,60,,Yes ,,Yes,Yes,,,Bottom,Start Free Trail,Yes,,,,,
Instabug,instabug,instabug.com,https://logo.clearbit.com/instabug.com,Instabug,Instabug is a computer software company that offers services for mobile app developers to help them in testing their applications.,,Active,Yes,Yearly,14 days,,Yes,5,Standard,149.00,599,,Yes ,,Yes,Yes,,,Top,Try Free,,,,,Yes,
Canny,canny,canny.io,https://logo.clearbit.com/canny.io,Canny,Canny helps you collect and organize feature requests to better understand customer needs and prioritize your roadmap.,,Active,No,No,14 days,,No,3,Standard,50.00,200,,Yes ,,Yes,Yes,,,Top,Get started,Yes,,,,,
Hiver,hiver,hiverhq.com,https://logo.clearbit.com/hiverhq.com,Hiver,"Hiver transforms Gmail into a collaboration platform by enabling teams to easily manage shared email accounts, like support@ and sales@.",,Active,Yes,Yearly,14 days,,No,3,Per user,18.00,40,,Yes ,No,Yes,No,,,Bottom,Start your free trail,,,,,Yes,
LiveChat,livechat,livechatoo.com,https://logo.clearbit.com/livechatoo.com,Livechatoo,"Live Chat Support, Sales Support Software, Live Chat Software and Help Centre with FAQ for Your Website and Customers. Online Support - Chat.",,Active,No,No,14 days,,No,4,Per user,16.00,50,,Yes ,No,Yes(Most popular),Yes,,,Top and Bottom,Start your free trail,Yes,,,,,
PagerDuty,pagerduty,pagerduty.com,https://logo.clearbit.com/pagerduty.com,PagerDuty,PagerDuty is an operations performance platform delivering visibility and actionable intelligence across the entire incident lifecycle.,,Active,Yes,Yearly,14 days,,No,4,Per user,10.00,47,,Yes ,No,Yes(Most popular),Yes,,,Top,Start free trail,,,,,Yes,
ChargeBee,chargebee,chargebee.com,https://logo.clearbit.com/chargebee.com,Chargebee,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,,Active,Yes,Yearly,14 days,,No,3,Standard,299.00,599,,Yes ,No,Yes (Popular),Yes,,,Top,Sign up for free,Yes,,,,,
Podia,podia,podia.com,https://logo.clearbit.com/podia.com,Podia,Podia is an operator of an online storefront for online courses and digital products.,,Active,No,No,14 days,,No,2,Standard,39.00,79,,Yes ,,No,No,,,N/A,N/A,,Yes,,,,
Harpoon,harpoon,harpoonapp.com,https://logo.clearbit.com/harpoonapp.com,Harpoon,"Harpoon is a financial goal-setting, time-tracking, and invoicing app for freelancers and consultants.",,Active,No,No,14 days,,No,3,Standard,19.00,99,,Yes ,No,Yes(popular),No,,,Bottom,Start my free trail,,,,,,Yes
Upscope,upscope,upscope.io,https://logo.clearbit.com/upscope.io,Upscope,Upscope improves customer support by letting agents see the customer’s screens without installs.,,Active,Yes,Monthly,14 days,,No,4,Per user,18.00,36,,Yes ,,No,Yes,,,Bottom,Start 14days free trial,,,,,Yes,
Statusbrew,statusbrew,statusbrew.com,https://logo.clearbit.com/statusbrew.com,Statusbrew,"Statusbrew offers a social media management platform that enables its users to discover, grow, and engage with audiences.",,Active,No,,14 days,,No,3,Standard,449.00,899,,Yes ,,Yes(Most popular),Yes,,,Top,Start your free trail,,,,,Yes,
Survey Sparrow,survey-sparrow-surveys,surveysparrow.com,https://logo.clearbit.com/surveysparrow.com,SurveySparrow,SurveySparrow is an end to end Conversational Experience Management Platform that helps get 40% better response rate.,,Active,Yes,Yearly,14 days,,No,4,Standard,29.00,199,,Yes ,No,Yes (Popular),Yes,,,Top and Bottom,Free trial,,,,,Yes,
Ghost,ghost,ghostcultmag.com,https://logo.clearbit.com/ghostcultmag.com,Ghost Cult Magazine,"Music News, Interviews and Reviews that matter.",,Active,No,No,14 days,,No,3,Standard,36.00,249,,Yes ,No,No,No,,,Top and Bottom,Start your free trial,Yes,,,,,
Rival IQ,rival-iq,rivaliq.com,https://logo.clearbit.com/rivaliq.com,Rival IQ,Rival IQ provides digital marketing analytics with a competitive edge,,Active,Yes,Monthly,14 days,,No,3,Standard,199.00,499,,Yes ,,Yes,No,,,N/A,N/A,Yes,,,,,
ClickTime,clicktime,clicktime.com,https://logo.clearbit.com/clicktime.com,ClickTime,ClickTime helps organizations become more productive every day.,,Active,Yes,Yearly,14 days,,No,4,Per user,12.00,28,,Yes ,No,Yes,Yes,,,Bottom,Free trail,,,,,Yes,
Getsocial,getsocial,getsocial.io,https://logo.clearbit.com/getsocial.io,GetSocial,GetSocial is a social analytics platform that helps content creators make better decisions on which stories to promote on social media.,,Active,Yes,Monthly,14 days,,No,4,Standard,9.00,99,,Yes ,,No,No,,,Top,Try for free,Yes,,,,,
Better Proposals,better-proposals,betterproposals.io,https://logo.clearbit.com/betterproposals.io,Better Proposals,Send Professional Proposals to Your Clients in Half the Time,,Active,Yes,Monthly,14 days,,No,3,Standard,19.00,129,,Yes ,No,No,No,,,Top,Start free trail,Yes,,,,,
Rankwatch,rankwatch,rankwatch.com,https://logo.clearbit.com/rankwatch.com,RankWatch,"RankWatch, an internet marketing platform with artificial intelligence, allows users to gain insights of their digital marketing campaigns.",,Active,Yes,Monthly,14 days,,No,4,Standard,29.00,449,,Yes ,,yes(Best buy),Yes,,,Bottom,Purchase,,,Yes,,,
FormAssembly,formassembly,formassembly.com,https://logo.clearbit.com/formassembly.com,FormAssembly,FormAssembly is a web-based surveying platform that helps businesses create web forms and collect data.,,Active,Yes,Yearly,14 days,,No,4,Per user,99.00,599,,Yes ,,Yes,Yes,,,Top,Get Started,Yes,,,,,
Copper,copper,copper.com,https://logo.clearbit.com/copper.com,Copper,Copper offers customer relationship management solutions for companies that use Google applications.,,Active,Yes,Yearly,14 days,,No,3,Per user,24.00,69,,Yes ,,Yes (Most popular),No,,,Bottom,Try free,Yes,,,,,
Mentionlytics,mentionlytics,mentionlytics.com,https://logo.clearbit.com/mentionlytics.com,Mentionlytics,Mentionlytics provides web and social media monitoring solutions for SMEs and enterprises.,,Active,No,,14 days,,No,4,Standard,39.00,299,,Yes ,,Yes(Best selling),No,,,N/A,N/A,,Yes,,,,
Raven Tools,raven-tools,raventools.com,https://logo.clearbit.com/raventools.com,Raven Tools,"Raven Tools provides Site Audits, Backlink Data, Automated Reports, and Rank Tracking.",,Active,Yes,Yearly,14 days,,No,4,Standard,109.00,479,,Yes ,,Yes,No,,,Bottom,Try it free,Yes,,,,,
Assembla,assembla,assembla.com,https://logo.clearbit.com/assembla.com,Assembla,Assembla is a cloud-based enterprise that offers online tools for distributed software teams to handle code management.,,Active,Yes,Yearly,14 days,,No,3,Per user,10.00,16,,Yes ,,No,No,,,Bottom,14 Days Free Trail,,,,Yes,,
Sellfy,sellfy,sellfy.com,https://logo.clearbit.com/sellfy.com,Sellfy,E-commerce platform for digital content creators,,Active,Yes,Yearly,14 days,,No,3,Standard,29.00,129,,Yes ,,No,No,,,Top,Start free trail,,,Yes,,,
Ryver,ryver,ryver.com,https://logo.clearbit.com/ryver.com,Ryver,The only collaborative email for business.,,Active,No,,14 days,,No,3,Standard,49.00,399,,Yes ,,Yes(Most popular),No,,,Bottom,Start trial,Yes,,,,,
Rollbar,rollbar,rollbar.com,https://logo.clearbit.com/rollbar.com,Rollbar,"Rollbar is a software company that helps developers deploy software with solutions that identify, prioritize, and resolve coding errors.",,Active,Yes,Yearly,14 days,,Yes,4,Standard,49.00,99,,Yes ,No,No,Yes,,,Top and Bottom,Start free trail,yes,,,,,
Woorank,woorank,woorank.com,https://logo.clearbit.com/woorank.com,WooRank,"WooRank is a super fast, super easy-to-use SEO audit, tracking and digital marketing tool.",,Active,No,,14 days,,No,3,Standard,59.99,249.99,,Yes ,,No,No,,,Top,Free trial,,,,,Yes,
JungleScout,junglescout,junglescout.com,https://logo.clearbit.com/junglescout.com,Jungle Scout,"Jungle Scout is the leading software suite for Amazon sellers with a community of more than 225,000.",,Active,Yes,Monthly,14 days,,No,3,Standard,39.00,69,,Yes ,No,Yes (Most popular),No,,,Top and Bottom,Buy now,Yes,,,,,
Sentry,sentry,sentry.io,https://logo.clearbit.com/sentry.io,Sentry,"Sentry is an open-source platform for workflow productivity, aggregating data from errors and crashes across the stack in real time.",,Active,Yes,Yearly,14 days,,Yes,4,Standard,29.00,89,,Yes ,No,Yes,Yes,,,Top,Start a trail,Yes,,,,,
Bugreplay,bugreplay,bugreplay.com,https://logo.clearbit.com/bugreplay.com,BugReplay,A bug reporting tool that records your screen and network traffic.,,Active,No,No,14 days,,No,4,Standard,9.00,99,,Yes ,No,No,No,,,Bottom,Sign up,,Yes,,,,
Beenote,beenote,beenotes.com,https://logo.clearbit.com/beenotes.com,beenotes,"Beenotes is the first ever voice guided application which allows beekeepers to effortlessly record detailed production data
  from bee hives.",,Active,No,,14 days,,No,5,Standard,10.00,160,,,Yes,Yes,No,,,Top and Bottom,14day free trail,,,,Yes,,
BrandMentions,brandmentions,brandmentions.com,https://logo.clearbit.com/brandmentions.com,BrandMentions,BrandMentions allows its users to monitor their brand and competitors accurately.,,Active,No,,14 days,,No,3,Standard,49.00,299,,,Yes,Yes(Best value),No,,,Top,Start free trail,,Yes,,,,
Doodle,doodle,doodle.com,https://logo.clearbit.com/doodle.com,Doodle,"Doodle is the simplest way to schedule meetings with clients, colleagues, or friends. Meet one-on-one or with your whole team. Try it today.",,Active,No,No,14 days,,No,4,Per user,4.00,30,,Yes ,,Yes(Recommended),Yes,,,Top,Start Free Trail,,,Yes,,,
Proposify,proposify,proposify.com,https://logo.clearbit.com/proposify.com,Proposify,"Proposify helps modern sales teams create, send, track, and e-sign winning proposals, contracts, and agreements.",,Active,No,No,14 days,,No,3,Per user,19.00,49,,Yes ,,Yes,Yes,,,Top,Start Free Trail,,,,,Yes,
Web CEO,web-ceo,webceo.com,https://logo.clearbit.com/webceo.com,WebCEO,Web CEO is one of the top 5 developers of desktop and online SEO software for website optimization (according to a variety of independent,,Active,Yes,Yearly,14 days,,Yes,4,Standard,99.00,299,,Yes ,,Yes(Most popular),No,,,Top,Start A Free Trail,,,Yes,,,
Volusion,volusion,volusion.com,https://logo.clearbit.com/volusion.com,Volusion,"Real founders. Real success. Over 180,000 entrepreneurs have trusted Volusion's all-in-one ecommerce software to build better businesses.",,Active,Yes,Monthly,14 days,,No,3,Standard,29.00,299,,Yes ,No,No,Yes,,,Top,Let's go,Yes,,,,,
Webengage,webengage,webengage.com,https://logo.clearbit.com/webengage.com,WebEngage,Fastest growing multi-channel Marketing Automation suite & CDP for consumer businesses. Retain better & make more money from existing users!,,Active,No,,14 days,,No,4,Standard,199.00,1499,,Yes ,,Yes(Most popular),Yes,,,Top,Start free trail,,,,,Yes,
Formito,formito,formito.com,https://logo.clearbit.com/formito.com,Formito,"Replace traditional forms with a people-friendly one. Engage website visitors with an interactive widget, Collect leads even outside working hours, Automate your business using real-time actions.",,Active,No,No,14 days,,Yes,4,Standard,18.00,70,,Yes ,,Yes,No,,,Bottom,Standard,Yes,,,,,
Viraltag,viraltag,viraltag.com,https://logo.clearbit.com/viraltag.com,Viraltag,Marketing Platform for Visual Content,,Active,Yes,Annual,14 days,,No,3,Standard,29.00,249,,Yes ,,No,No,,,Top,Try for free,,Yes,,,,
PersistIQ,persistiq,persistiq.com,https://logo.clearbit.com/persistiq.com,PersistIQ,PersistIQ makes your outbound sales more effective.,,Active,No,No,14 days,,No,3,Per user,50.00,120,,Yes ,,No,No,,,Top,Start free Trail,Yes,,,,,
Databox,databox,databox.com,https://logo.clearbit.com/databox.com,Databox,Databox is an application that operates as a personal data assistant for businesses.,,Active,Yes,Yearly,14 days,,Yes,4,Standard,59.00,299,,Yes ,,No,No,,,N/A,N/A,Yes,,,,,
Housecall Pro,housecall-pro,housecallpro.com,https://logo.clearbit.com/housecallpro.com,Housecall Pro,Housecall Pro is a developer of a mobile software platform used to connect back-end business operations and homeowners.,,Active,No,No,14 days,,No,4,Standard,49.00,249,,Yes ,,Yes(Most popular),Yes,,,N/A,N/A,Yes,,,,,
Deputy,deputy,deputy.com,https://logo.clearbit.com/deputy.com,Deputy,"Deputy is an employee management tool, simplifying scheduling, timesheets, tasks and workplace communication.",,Active,Yes,Yearly,14 days,,No,4,Per user,2.50,4.5,,Yes ,,Yes,Yes,,,Top,Start a Free Trail,,Yes,,,,
Timely,timely-for-teams,gettimely.com,https://logo.clearbit.com/gettimely.com,Timely,Timely is a privately held company that provides an appointment booking software.,,Active,Yes,Monthly,14 days,,No,2,Standard,99.00,299,,Yes ,No,No,No,,,Top,Start free trail,,Yes,,,,
CloudQA,cloudqa,cloudqa.io,https://logo.clearbit.com/cloudqa.io,CloudQA,Cloud-based web application testing.,,Active,Yes,Monthly,14 days,,No,3,Standard,99.00,499,,Yes ,No,Yes(popular),Yes,,,Bottom,Start trail,,,,Yes,,
Karbon,karbon,karbonhq.com,https://logo.clearbit.com/karbonhq.com,Karbon,"Karbon is workstream collaboration platform for growing teams and enterprises to combine emails, discussions, tasks, and powerful workflows.",,Active,Yes,Yearly,14 days,,No,3,Per user,70.00,99,,Yes ,No,Yes(Most popular),Yes,,,Top and Bottom,Try karbon,Yes,,,,,
Kayako,kayako,kayako.com,https://logo.clearbit.com/kayako.com,Kayako,"Grow your business with Kayako, the unified customer service platform.",,Active,No,No,14 days,,No,3,Per user,15.00,60,,Yes ,No,Yes,No,,,Top,Start free trail,,,,,Yes,
Streak,streak,streak.com,https://logo.clearbit.com/streak.com,Streak,"Streak is the only CRM integrated entirely within your Gmail inbox. Use it to track sales, partnerships, support, hiring, and much more.",,Active,Yes,Yearly,14 days,,Yes,3,Per user,59.00,159,,Yes ,,Yes(Most popular),No,,,Bottom,Start 14 Days Trial,,,,Yes,,
Ongage,ongage,ongage.com,https://logo.clearbit.com/ongage.com,Ongage,"Ongage was founded in 2010 by a team of email marketers with extensive experience in infrastructure, APIs, ESPs and MTA gateways.",,Active,No,,14 days,,No,4,Standard,399.00,1499,,yes ,,Yes(Most popular),Yes,,,Top,Free trail,Yes,,,,,
HelpDocs,helpdocs,helpdocs.io,https://logo.clearbit.com/helpdocs.io,HelpDocs,Drive down support ticket volume and guide customers with a fully-featured knowledge base.,,Active,Yes,Yearly,14 days,,No,3,Standard,49.00,199,,Yes ,No,Yes(Best value),No,,,Bottom,Start free trail,,,,Yes,,
Socialpilot,socialpilot,socialpilot.co,https://logo.clearbit.com/socialpilot.co,SocialPilot,"SocialPilot manages social media, schedule social media posts, improve engagement, and analyze results.",,Active,Yes,Yearly,14 days,,No,4,Standard,30.00,100,,,Yes,Yes(Most popular),Yes,,,Top and Bottom,Get a free 14 day trail,Yes,,,,,
Appointy,appointy,appointy.com,https://logo.clearbit.com/appointy.com,Appointy,Appointy is an advanced web-based scheduling software tool which allows you to manage your clients and market your services by speeding up,,Active,Yes,Yearly,14 days,,Yes,4,Standard,29.99,99.99,,Yes ,,Yes(Most popular),No,,,Top,Start Trial,,,,,Yes,
Helpcrunch,helpcrunch-live-chat-and-emails,helpcrunch.com,https://logo.clearbit.com/helpcrunch.com,HelpCrunch,"Customer communication platform for Support, Marketing & Sales combining Live Chat, Email marketing automation, and Knowledge base",,Active,Yes,Monthly,14 days,,No,3,Per user,29.00,49,,Yes ,No,Yes (most popular),Yes,,,Bottom,Request trial,,,,yes,,
Brand24,brand24,brandverity.com,https://logo.clearbit.com/brandverity.com,BrandVerity,"Making it effortless to discover and remediate brand issues online with best-in-class data, automation and exceptional customer experience",,Active,No,,14 days,,No,3,Standard,49.00,399,,Yes ,,Yes(Most popular),No,,,N/A,N/A,,,Yes,,,
Leadfeeder,leadfeeder,leadfeeder.com,https://logo.clearbit.com/leadfeeder.com,Leadfeeder,"Leadfeeder is a sales lead generation tool for B2B companies, helping convert promising visitors into sales leads.",,Active,No,No,14 days,,Yes,2,Standard,0.00,53,,Yes ,,No,No,,,Top,Start your Free Trail,yes,,,,,
ChatBeacon,chatbeacon,chatbeacon.io,https://logo.clearbit.com/chatbeacon.io,ChatBeacon,ChatBeacon is a live chat software for websites.,,Active,Yes,Yearly,14 days,,No,3,Per user,39.00,69,,Yes ,No,Yes(Most Popular),Yes,,,Bottom,Price ChatBeacon,,,,,Yes,
Crisp,crisp,crisp.chat,https://logo.clearbit.com/crisp.chat,Crisp,Crisp is the best way to chat with your website visitors.,,Active,No,No,14 days,,Yes,3,Per user,25.00,95,,Yes ,,No,No,,,Bottom,Start My Trial,,,Yes,,,
Jobber,jobber,getjobber.com,https://logo.clearbit.com/getjobber.com,Jobber,"Jobber helps small home service businesses organize their operations from scheduling jobs, managing crews, to invoicing & collecting payment",,Active,No,No,14 days,,No,3,Standard,39.00,49,,Yes ,,Yes(Most popular),No,,,Top,Start Free Trail,,Yes,,,,
Close.com,closecom,close.com,https://logo.clearbit.com/close.com,Close,Close is the inside sales CRM of choice for startups and SMBs.,,Active,Yes,Monthly,14 days,,No,4,Per user,35.00,145,,Yes ,,No,No,,,Top,Try for free,Yes,,,,,
WorkBoard,workboard,workboard.com,https://logo.clearbit.com/workboard.com,WorkBoard,Workboard is an enterprise SaaS company that helps companies unlock growth by making alignment and accountability remarkably easy.,,Active,No,No,14 days,,No,2,Per user,20.00,50,,No,Yes,Yes,No,,,Top,Try it free for 14 days,Yes,,,,,
Proto,proto,protonmail.com,https://logo.clearbit.com/protonmail.com,ProtonMail,ProtonMail is an internet software company that provides an easy to use secure email.,,Active,Yes,Yearly,15 days,,No,4,Standard,29.00,199,,Yes ,,No,No,,,N/A,N/A,,,,yes,,
Loomly,loomly,loomly.com,https://logo.clearbit.com/loomly.com,Loomly,Loomly is the Brand Success Platform that empowers your marketing team to manage every aspect of your social media communication.,,Active,Yes,Yearly,15 days,,No,5,Standard,34.00,332,,,Yes,Yes(Best value),Yes,,,Bottom,Start your 15day free trail,Yes,,,,,
Marker,marker,markertek.com,https://logo.clearbit.com/markertek.com,Markertek Video Supply,"Markertek Video Supply is a broadcast media company offering video production, and audio recording services.",,Active,Yes,Monthly,15 days,,No,3,Standard,59.00,199,,Yes ,No,Yes,No,,,Top and Bottom,Start 15day trail,,,,Yes,,
Transifex,transifex,transifex.com,https://logo.clearbit.com/transifex.com,Transifex,Transifex is a localization automation platform that powers the process of launching digital products into multiple languages.,,Active,No,No,15 days,,No,5,Standard,179.00,1549,,Yes ,,Yes,Yes,,,Top,Get Started,,,,,Yes,
Proxyclick,proxyclick,proxyclick.com,https://logo.clearbit.com/proxyclick.com,Proxyclick,"Proxyclick is a cloud based software that manages visitors, from invitation to checkout.",,Active,Yes,Yearly,15 days,,Yes,4,Standard,67.00,267,,Yes ,,Yes(Recommended),Yes,,,Top,Start Now,,,,,Yes,
Help Scout,help-scout,helpscout.com,https://logo.clearbit.com/helpscout.com,Help Scout,"Make every customer service interaction a more human one. Use Help Scout. Trusted by over 10,000 businesses in 140 countries. Get started for free.",,Active,Yes,Yearly,15 days,,No,3,Per user,40.00,70,,Yes ,No,Yes,Yes,,,Bottom,Free 15day trail,,,,,Yes,
Justinmind,justinmind,justinmind.com,https://logo.clearbit.com/justinmind.com,Justinmind,Justinmind is an advanced wireframing and prototyping tool that enables users to wireframe web and mobile apps without coding.,,Active,No,No,15 days,,No,2,Per user,29.00,49,,Yes ,,No,No,,,Top,Buy now,,,,,Yes,
Groovehq,groovehq,groovehq.com,https://logo.clearbit.com/groovehq.com,Groove,"Groove makes it easy for teams to manage customer service. More than 6,000 businesses deliver better customer support using Groove.",,Active,Yes,Yearly,15 days,,No,3,Per user,12.00,34,,Yes ,,Yes(Best seller),No,,,Bottom,Start a free 15 day trial,,,,Yes,,
Salesmate,salesmate,salesmate.io,https://logo.clearbit.com/salesmate.io,Salesmate,"A truly intelligent sales CRM that helps sales reps be more productive, increases their sales and engage deeply with their customers.",,Active,Yes,Yearly,15 days,,No,2,Per user,15.00,30,,Yes ,,No,No,,,Bottom,Signup For free Trial,Yes,,,,,
Wrike,wrike,wrike.com,https://logo.clearbit.com/wrike.com,Wrike,Wrike is the leading collaborative work management platform.,,Active,No,No,15 days,,No,5,Per user,9.80,24.8,,Yes ,,Yes,Yes,,,Bottom,Start Free Trail,,,Yes,,,
Recruitee,recruitee,recruitee.com,https://logo.clearbit.com/recruitee.com,Recruitee,"Recruitee is a leading Talent Acquisition Platform, designed for recruiters and hiring managers alike to help them attract the right talent.",,Active,Yes,Monthly,18 days,,No,4,Standard,79.00,299,,Yes ,,No,Yes,,,Bottom,Free trial,,,,Yes,,
Clicky,clicky,clicky.com,https://logo.clearbit.com/clicky.com,Clicky Web Analytics,Clicky Web Analytics enables bloggers and small websites to get insights and live information about their online visitors.,,Active,No,,21 Days,,Yes,5,Standard,9.99,19.99,,Yes ,,No,Yes,,,N/A,N/A,,Yes,,,,
OnePageCRM,onepagecrm,onepagecrm.com,https://logo.clearbit.com/onepagecrm.com,OnePageCRM,Web-based Sales App for Small Business,,Active,Yes,Monthly,21 Days,,No,1,Per user,12.00,N/A,,N/A,,No,No,,,Bottom,Try free,,,,Yes,,
IO Pipe,io-pipe,iopipe.com,https://logo.clearbit.com/iopipe.com,IOpipe,IOpipe is the serverless DevOps platform built for teams building and running event-driven architectures in AWS Lambda.,,Active,No,No,21 Days,,Yes,4,Standard,299.00,749,,Yes ,No,Yes,Yes,,,Top and Bottom,Get started,Yes,,,,,
Coassemble,coassemble,coassemble.com,https://logo.clearbit.com/coassemble.com,Coassemble,Coassemble is a provider of online training for global brands.,,Active,Yes,Yearly,21 Days,,No,4,Standard,199.00,1199,,Yes ,No,No,No,,,Top,Enquire now,,Yes,,,,
PlanGrid,plangrid,plangrid.com,https://logo.clearbit.com/plangrid.com,PlanGrid,"Simple, powerful construction software that GCs, subs, and owners love to use.",,Active,Yes,Yearly,21 Days,,No,4,Standard,49.00,139,,Yes ,,No,Yes,,,Top,Buy Now,,,,Yes,,
Yesware,yesware,yesware.com,https://logo.clearbit.com/yesware.com,Yesware,"Yesware is an all-in-one sales acceleration platform that helps salespeople connect with prospects, track engagement, and close more deals.",,Active,Yes,Annual,28 days,,No,3,Per user,15.00,80,,Yes ,,Yes,No,,,Top,Buy it,,,,,Yes,
Agora Pulse,agora-pulse,agorapulse.com,https://logo.clearbit.com/agorapulse.com,Agorapulse,"AgoraPulse is an affordable, all-in-one, self-service Social Media platform for SMBs and agencies.",,Active,Yes,Annual,28 days,,No,4,Standard,99.00,499,,Yes ,,Yes(Most popular),No,,,Top and Bottom,Start your free trail,Yes,,,,,
Mailjet,mailjet,mailjet.com,https://logo.clearbit.com/mailjet.com,Mailjet,Mailjet is a real-time cloud emailing platform that improves the deliverability of emails and allows users to track and monitor sent emails.,,Active,Yes,Yearly,30 days,,Yes,4,Standard,9.65,20.95,,Yes ,No,Yes,Yes,,,Top,Sign up,,Yes,,,,
Humanity,humanity,humanity.com,https://logo.clearbit.com/humanity.com,Humanity,Humanity is a computer software company that provides software for businesses designed for employee scheduling.,,Active,Yes,Yearly,30 days,,No,3,Per user,2.00,4,,Yes ,,Yes,Yes,,,Top,Start My Free Trail,Yes,,,,,
